question,response_j,response_k
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Seniors Emergency Hardship Relief Act of 2011 - Amends the Internal Revenue Code to exclude a qualified senior distribution from gross income for income tax purposes. Defines a ""qualified senior distribution"" as any distribution to an individual from a tax-exempt retirement plan if such individual is at least age 65 at the time of the distribution and the distribution does not exceed the lesser of $10,000 or an amount equal to the sum of necessary repairs to the taxpayer's principal residence, medical care not compensated for by insurance, and expenses incurred in a disaster area in which the taxpayer's principal residence is located.[/INST]
Topics:
","1. Retirement
2. Tax
3. Aging",1. Taxation
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Brownfields Reauthorization Act of 2010 - Amends the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 to: (1) include nonprofit organizations within the meaning of ""eligible entity"" for purposes of brownfields revitalization funding; (2) increase the limit on the maximum amount of a grant for brownfields remediation for each site; (3) authorize the President to transfer any duties under the brownfield remediation grant program to the Administrator of the Environmental Protection Agency (EPA); (4) revise eligibility requirements for brownfields revitalization funding; (5) require the Administrator to establish a program to provide multi-purpose grants to inventory, characterize, assess, conduct planning related to, or remediate brownfield sites in an area; (6) require the Administrator to establish a program to make competitive grants to be used at brownfield sites for projects that reduce environmental impact, increase community livability, and encourage sustainability; (7) authorize the Administrator to assign EPA employees to entities servings small, disadvantaged, or rural communities to build local capacity for the remediation and revitalization of brownfield sites in such communities; (8) increase and extend funding for brownfields revitalization; (9) require at least 7.5% of such funding to be used to carry out projects that reduce environmental impact, increase community livability, and encourage sustainability; and (10) increase and extend funding for state response programs established under such Act.[/INST]
Topics:
","1. Brownfields Remediation
2. Community Revitalization
3. Environment",1. Environmental Sustainability
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Medically Fragile Children's Act of 2008 - Amends title XIX (Medicaid) of the Social Security Act to establish a program of all-inclusive care for medically fragile children as a Medicaid state plan option. Makes a child eligible if he or she is: (1) medically fragile based on health status and related indicators or is diagnosed as having one or more chronic conditions; (2) requires daily monitoring of a significant medical condition necessitating overall care planning in order to achieve or maintain optimum health and developmental status, and achieve community integration to the maximum extent possible; and (3) requires both medical assistance and at least two additional services furnished under an all-inclusive program as a result of functional deficits.[/INST]
Topics:
","1. Medicare
2. Children's Services
3. Medicare","1. Healthcare
2. Medical Care"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Domestic Energy Production Protection Act of 2013 - Requires the Administrator of the Environmental Protection Agency (EPA) to submit for analysis by the Office of Information and Regulatory Affairs (OIRA) a proposed rule or guidance under the Clean Air Act that may reduce the level of energy output in a specified sector before such a rule or guidance may take effect. Defines ""specified sector"" as one of the nine sectors of energy production listed in the document entitled ""Annual Energy Outlook 2013: With Projections to 2040,"" published by the U.S. Energy Information Administration in April 2013. Requires the Administrator of OIRA (Administrator), within 90 days of receiving the proposed rule or guidance, to conduct an analysis to determine if such rule or guidance, individually or when combined with another final rule or guidance issued by EPA, will reduce the level of energy output in a specified sector below the level of the prior year. Requires such analysis to include the potential impact of the rule or guidance on energy output in such sectors and any potential job losses over a period of 10 years. Requires the Administrator to report to Congress after making a determination that a proposed rule or guidance would reduce such energy output. Prohibits such rule or guidance that is the subject of a report from taking effect unless Congress enacts a joint resolution approving it. Establishes a process for approving a rule or guidance by a joint resolution. Removes rules promulgated pursuant to this Act from the established process for review of agency rulemaking, if a rulemaking will reduce energy output. Defines ""energy output"" as the level of production for a year, measured in quadrillion Btu, as calculated and included in such document.[/INST]
Topics:
","1. Energy
2. Regulation
3. Job Losses","1. Energy Production
2. Regulatory Guidance"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Closing Regulatory Loopholes Act of 2011 - Requires federal agency guidance documents and major guidance documents to be submitted for congressional review prior to implementation. Defines: (1) ""guidance document"" as an agency statement of general applicability and future effect that sets forth a policy on a statutory, regulatory or technical issue or an interpretation of a statutory or regulatory issue; and (2) ""major guidance document"" as a guidance document that has resulted in or is likely to result in an annual effecct on the economy of $100 million or more, a major increase in costs of prices, or a significant adverse effect on competition, employment, investment, productivity, or innovation.[/INST]
Topics:
","1. Regulation
2. Government
3. Policy Making","1. Regulatory Guidance
2. Federal Agencies"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Immediate Financial Assistance for America's Seniors Act of 2008 - Amends the Internal Revenue Code to allow social security recipients with earned income less than $3,000 a $300 refundable tax credit ($600 for married couples filing a joint tax return) in 2008. Reduces the amount of such credit by 5% of the amount by which the taxpayer's adjusted gross income exceeds $75,000.[/INST]
Topics:
","1. Finance
2. Social Security
3. Tax","1. Financial Assistance
2. Tax Credit"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Immigration'. 
Examples of seeds topics are 'Citizenship' and 'Visas'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Immigration within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
 Sorry, Sherri, but I can't agree with this particular incident.  While I'm all for cutting down the number of chain-rattles and other examples of rampant Hargroving, there was a difference here.  1)  Since time immemorial, batters have complained about calls. So have pitchers and catchers.  Usually, nothing happens. Unless the league notified teams this year about not allowing complaints, Hirschbeck was acting against expectations.  2)  It's not as if Gant was ""in Hirschbeck's face"".  Gant said something about the call, stepped out of the box, and turned away from Hirschbeck.  As a hitter (alibet of little consequence, but with a decent eye), whenever receiving the short end of the stick on a questionable call, I'd want a moment or two out of the box, if for no other reason than to rethink the strike zone based on the experience of the last pitch.  And if I was really angry at the ump, I'd rather turn away and catch my breath than turn to him and say something that might get me tossed, especially at a key moment in the game.  When Gant turned away, Hirschbeck IMMEDIATELY motioned for Gant[/INST]
Topics:
",No specific topics related to Immigration'.,"
1. Umpires
2. Calls
3. Complaints"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Western Hemisphere Energy Compact - (Sec. 3) Defines specified terms. (Sec. 4) Directs the Secretary of State (Secretary) to establish the Western Hemisphere Energy Cooperation Forum which should seek to: (1) strengthen relationships between the United States and other countries of the Western Hemisphere through cooperation on energy issues; (2) enhance cooperation between major energy producers and major energy consumers in the Western Hemisphere, particularly among the governments of Brazil, Canada, Mexico, the United States, and Venezuela; and (3) promote renewable energy production and lessen oil import dependency. Directs the U.S. government to seek to implement: (1) an energy crisis initiative that will promote national and regional measures to respond to temporary energy supply disruptions; (2) an energy sustainability initiative to facilitate long-term supply security by fostering reliable supply sources of fuels, including energy from biomass; and (3) an energy for development initiative to promote energy access for underdeveloped areas through energy policy and infrastructure development. Directs the Secretary to seek Western Hemisphere governments' cooperation in establishing a Western Hemisphere Energy Industry Group, which shall increase public-private partnerships and foster private investment. Directs the U.S. government to explore the establishment of the Oil and Gas Working Group, which should strengthen oil- and natural gas-related dialogue among international oil companies, national oil companies, and civil society groups. (Sec. 5) Directs the Secretary to work with Brazil to: (1) coordinate efforts to promote the production and use of biofuels among all interested countries, giving preference to the countries in the Western Hemisphere that are among the poorest and most dependent on petroleum imports; (2) invite the European Union (EU), China, India, South Africa, Japan, and other interested countries to expand upon existing international efforts to create global biofuels markets and promote biofuels production and use in developing countries; (3) assess the feasibility of working with the International Bank for Reconstruction and Development (World Bank) and relevant regional development banks regarding biofuels; and (4) develop a coordinated strategy regarding the construction and retrofitting of pipelines and terminals near major fuel distribution centers, coastal harbors, and railroads. Authorizes FY2009 appropriations. Directs: (1) the Secretary of Agriculture to work with Brazil in joint agricultural biofuel extension activities; and (2) the Secretary of Energy to establish a grant program to finance advanced biofuels research and collaboration between academic and research institutions in the United States and Brazil. Authorizes FY2009 appropriations. (Sec. 6) Directs the Secretary to work with each partner country (as defined by this Act) to conduct a study to determine the feasibility of increasing biofuel production and use. Provides that such study shall: (1) analyze energy policy; (2) assess demand and resources; (3) analyze technologies and resources; (4) assess food stock and environmental impacts; and (5) develop policy options. Authorizes FY2009 appropriations. (Sec. 7) Directs the Secretary of the Treasury to inform the managements of the international financial institutions and the public that it is U.S. policy that such institutions should encourage development of renewable and biomass energy sources. (Sec. 8) Directs the Secretary to work with Western Hemisphere governments and other countries to organize regional and hemispheric carbon trading mechanisms. Authorizes FY2009 appropriations. (Sec. 9) Directs the Secretary to seek to establish a Western Hemisphere energy crisis response mechanism. Directs the Secretary of Energy to conduct a study of natural gas supply vulnerabilities in the Western Hemisphere. Authorizes FY2009 appropriations. (Sec. 10) Directs the Administrator of the United States Agency for International Development (USAID) to seek to increase U.S. foreign assistance programming in renewable energy, including activities to reduce energy import dependence through biofuel use. Authorizes the Administrator to award grants to nongovernmental organizations for sustainable energy and job creation projects in at-risk nations, such as Haiti. Authorizes appropriations. (Sec. 11) Authorizes appropriations to the Department of State for renewable energy-related diplomatic activities in the Western Hemisphere. (Sec. 12) Directs the Secretary to report annually to Congress on activities under this Act.[/INST]
Topics:
","1. Energy
2. Energy
3. Security","1. Renewable Energy
2. Energy Cooperation
3. Energy Security"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Immigration'. 
Examples of seeds topics are 'Citizenship' and 'Visas'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Immigration within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
 They _finally_ started going to the net!  See what happens when you  create some traffic?  Muller deserves full marks (what a player!), and Damphousse finally started skating.  Roy (thankyouthankyouthankyou) was excellent.  Did you see that third period save on Young?  And the  defense was taking out Quebec players in the zone.  Anybody else wonder if Hextall will feel like a dweeb when he finds  out that the winning goal went in off his own D-man's skate?  Whatta suck.  Although he _is_ playing really well.   Sure it does.  On Sunday when the B's are golfing and the Habs are tied 2-2 you'll see what I mean! :-) :-)  [/INST]
Topics:
",No specific topics related to Immigration'.,"
1. Save
2. Goal
3. Defense"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Adoption Tax Credit Tribal Parity Act of 2013 - Amends the Internal Revenue Code to allow Indian tribes to make the determination that a child is a child with special needs for purposes of the adoption tax credit.[/INST]
Topics:
","1. Adoption
2. Tax
3. Tribal Parity",1. Tax Credit
"<s>[INST]Based on the provided text, identify one to three specific topics related to Vehicles. 
Examples of seeds topics are 'Autos' and 'Motorcycles'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Vehicles within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
 Funny, the medical examiner today stated that there was no evidence ONE WAY or ANOTHER that there were bullet wounds -- not a single autopsy has been performed, so all reports are deemed speculative.  INCLUDING reports that there were NO bullet wounds.   Before long, I think all the kneejerk conspiracy theorists are going to start getting pretty pissed off at how easily they mislead themselves.  Also, pretty disappointed at being ignored by the coutnry. [/INST]
Topics:
",No specific topics related to Vehicles.,"
1. Autopsy
2. Bullet wounds
3. Conspiracy"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Graphics' and 'Hardware'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
One of our ASU students needs data and or a copy or an article regarding  accidents, injury or death to ""children"" (articles which state the age  limits of ""children"") relating to firearms for a sociology report.   We have a copy of the long Edgar A. Suter, M.D. article and but we can't find  the Paul Blackman (NRA) ""expose'"".   Any articles (or sections thereof) which deal with comparisons over time,  locations, age groups, other reasons for accidents, injury or death, with  percentages would be welcome.   Please send same to our I.D. and node.[/INST]
Topics:
",No specific topics related to Computer.,"
1. Accidents
2. Injury
3. Death"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Amends the Harmonized Tariff Schedule of the United States to provide temporarily for the duty treatment of (R,S)-2-((2,6-dimethylphenyl)methoxyacetylamino) propionic acid, methyl ester.[/INST]
Topics:
","1. Tariffs
2. Military
3. Chemicals","1. Tariff
2. Duty"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Family and Business Tax Cut Certainty Act of 2012 - Amends the Internal Revenue Code to extend through 2013 expiring tax expenditures for individuals, businesses, and the energy sector. Title I: Individual Tax Provisions - Subtitle A: Alternative Minimum Tax Relief - (Sec. 101) Extends through 2013 the increased alternative minimum tax (AMT) exemption amount for individual taxpayers and the offset against the AMT for certain nonrefundable personal tax credits. Subtitle B: Other Individual Tax Provisions - (Sec. 111) Extends through 2013: (1) the tax deduction for certain expenses of elementary and secondary school teachers, (2) the exclusion from gross income of income attributable to the discharge of indebtedness incurred with respect to a principal residence, (3) the equalization of the exclusion from gross income for employer-provided commuter transit and parking benefits, (4) the tax deduction for mortgage insurance premiums, (5) the tax deduction for state and local general sales taxes in lieu of state and local income taxes, (6) the tax deduction for contributions of capital gain real property made for conservation purposes, (7) the deduction from gross income for qualified tuition and related expenses, and (8) tax-free distributions from individual retirement accounts for charitable purposes. Subtitle C: Tax Administration - (Sec. 121) Make permanent the authority of the Secretary of the Treasury to disclose tax returns and other information to federal and state prison officials concerning inmates who may have filed or facilitated the filing of false or fraudulent tax returns. Allows disclosures of such information to contractors responsible for the operation of a federal or state prison and to the legal representatives of the Federal Bureau of Prisons, of a state agency or contractor charged with the responsibility for administration of prisons, or of the incarcerated individual accused of filing the false or fraudulent return. Extends through 2013 the disregard of tax refunds in determining eligibility for means-tested federal assistance programs. Title II: Business Tax Extenders - (Sec. 201) Extends through 2013: (1) the tax credit for research expenditures; (2) the 9% low-income housing tax credit rate for newly constructed non-federally subsidized buildings; (3) the Indian employment tax credit; (4) the new markets tax credit; (5) the tax credit for qualified railroad track maintenance expenditures; (6) the tax credit for mine rescue team training expenses; (7) the tax credit for differential wage payments to employees who are active duty members of the Uniformed Services; (8) the work opportunity tax credit; (9) the authority for issuing qualified zone academy bonds; (10) accelerated depreciation of qualified leasehold, restaurant, and retail property, for motorsports entertainment complexes, and for business property on Indian reservations; (11) the tax deduction for contributions of food inventory by taxpayers other than C corporations; (12) increased expensing of depreciable business assets; (13) the election to expense advanced mine safety equipment expenditures; (14) the enhanced expensing allowance for certain film and television production costs; (15) the tax deduction for income attributable to domestic production activities in Puerto Rico; (16) the tax rule for payments between related foreign corporations; (17) rules relating to regulated investment company (RIC) dividends; (18) the subpart F income exemption for income derived in the active conduct of a banking, financing, or insurance business; (19) the 100% exclusion from gross income of gain from the sale or exchange of small business stock; (20) the basis adjustment rule for stock of an S corporation making charitable contributions of property; (21) the reduction of the recognition period for the built-in gains of S corporations; (22) tax incentives for investment in empowerment zones; (23) the authority for issuing New York Liberty Zone bonds; (24) the increased limitation for payments of excise taxes on distilled spirits into the treasuries of Puerto Rico and the Virgin Islands; and (25) the tax credit for American Samoan economic development expenditures. Amends the Housing Assistance Tax Act of 2008 to extend through 2013 the exemption of the basic military housing allowance from the income test for programs financed by tax-exempt housing bonds. Title III: Energy Tax Extenders - (Sec. 301) Extends through 2013: (1) the tax credit for residential energy efficiency improvements; (2) the tax credit for alternative fuel vehicle refueling property expenditures; (3) the tax credit for two- or three-wheeled plug-in electric vehicles; (4) the cellulosic biofuel producer tax credit; (5) the income tax credit for biodiesel and renewable diesel used as fuel; (6) the placed-in-service dates for facilities producing electricity from renewable resources, including wind, biomass, landfill gas, trash, hydropower, and marine and hydrokinetic renewable energy facilities; (7) the tax credit for energy efficient new homes; (8) the tax credit for energy efficient appliances; (9) accelerated depreciation of cellulosic biofuel plant property; and (10) the excise tax credit for alternative fuels. Title IV: Other Provisions - (Sec. 401) Expresses the sense of the Senate that: (1) comprehensive tax reform is vital to U.S. economic growth and competitiveness and should begin in 2013; (2) a major focus of comprehensive tax reform should be broadening the tax base so as to lower tax rates, including by reforming, eliminating, or significantly reducing tax expenditures; and (3) whenever possible, federal energy tax expenditures should be responsibly phased-out so that energy technologies can function without reliance on federal subsidies Title V: Budget Provisions - (Sec. 501) Provides for compliance of the budgetary effects of this Act with the Statutory Pay-As-You-Go Act of 2010.[/INST]
Topics:
","1. Tax cuts
2. Tax
3. Energy tax incentives",1. Business taxes
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Investing in Innovation for Education Act of 2013 - Amends the Elementary and Secondary Education Act of 1965 to direct the Secretary of Education to award competitive grants to local educational agencies (LEAs), educational service agencies, and nonprofit organizations to support the school innovation efforts of public schools and LEAs. Requires at least 25% of the grant funds to be awarded for projects in rural areas. Requires each grant applicant to demonstrate that it has partnered with at least one private, nonprofit, or community-based organization that will provide matching funds. Allows the Secretary to waive the matching funds requirement upon a showing of exceptional circumstances. Requires each grant to be used to address at least one of the following areas of school innovation: (1) improving the effectiveness of teachers and school leaders and promoting their equitable distribution, (2) strengthening the use of data to improve education, (3) providing high-quality instruction that is based on rigorous standards and measuring students' proficiency using high-quality assessments that are aligned to those standards, (4) turning around the lowest-performing schools, and (5) any other area of school innovation the Secretary chooses. Directs the Secretary to establish performance measures for tracking each grantee's progress in: (1) improving the academic performance of public elementary and secondary school students, and specified subgroups of those students; and (2) implementing its project in rural schools, as applicable. Requires grantees to use grant funds to develop or expand strategies to improve high-need students' showing on those performance measures.[/INST]
Topics:
","1. Education
2. School Improvement
3. Student Performance",1. Education Innovation
"<s>[INST]Based on the provided text, identify one to three specific topics related to Vehicles. 
Examples of seeds topics are 'Autos' and 'Motorcycles'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Vehicles within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
      Okay, I see smilies, so this isn't supposed to be a serious post. On the other hand, I would suppose it does has some motivation behind it. Apparently the idea is to poke fun at religion, but there is  presumably some sort of reasoning behind it. As an argument, this  statement is worthless. Presuming the Qur'an is a perfect religious  text (whatever that might be) there is still plenty of room for  disagreement about its implications for issues far from essentials.  I've already responded to the question of how a judgment might be made between two people who in fact _do_ disagree about Islam, which doesn't presume anything about the Qur'an other than its having sufficient clarity for all important disputes about the basic principles of Islam. This hardly constitutes a claim that no two people could have disagreements about _all_ issues relevant to Islam. [/INST]
Topics:
",No specific topics related to Vehicles.,"
1. Religion
2. Islam
3. Qur'an"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Good Samaritan Hunger Relief Tax Incentive Extension Act of 2011- Amends the Internal Revenue Code to: (1) modify the tax deduction for charitable contributions of food inventory by limiting the reduction in such deduction to the amount by which the fair market valuation of the contributed food exceeds twice the basis of such food; and (2) make such deduction permanent.[/INST]
Topics:
","1. Charitable Contributions
2. Food Donations
3. Tax",1. Tax Incentives
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Graphics' and 'Hardware'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
Since Roger is a Canadian who probably knows nothing about baseball I am gonna try to explain it to him in terms of hockey...  according to his logic... I can say that since 1988...Bob Errey is better than Wayne Gretzky  hey...Errey contributed to 2 Cups while good old Wayne has won nothing... (I think the Kings should trade Gretzky for Errey....what do you think Roger?)[/INST]
Topics:
",No specific topics related to Computer.,"
1. Hockey
2. Baseball
3. Trading"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
End Unnecessary Costs Caused by Report Mailing Act of 2011 - Amends the Safe Drinking Water Act to give public water systems for which there were no violations of the maximum contaminant level for any regulated contaminant during the year the option to: (1) mail the annual report on the level of contaminants in the drinking water purveyed by that system to each customer (required under current law); or (2) make such report available on the system's website and, upon request, by mail. Requires such report to include for any regulated contaminant in such water system for which there has been a violation: (1) a description in plain language of the specific contaminant measurements, the possible effects on health and welfare, and the actions being taken to correct the violation; and (2) the date by which compliance will be attained.[/INST]
Topics:
","1. Water Quality
2. Health
3. Regulation","1. Public Health
2. Regulatory Compliance"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Immigration'. 
Examples of seeds topics are 'Citizenship' and 'Visas'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Immigration within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
Come back ten years from now and look at the careers of Juan Gonzalez vs. Mark McGuire,  and then tell us how bogus the Juanderful one's 1992 HR title was.  I'd say that by 2003,  Juan will be preparing his HOF acceptance speech while the voters will be saying ""Mark McWho?"" [/INST]
Topics:
",No specific topics related to Immigration'.,"
1. Careers
2. HR title
3. HOF"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Treats cash contributions made during January or February 2010 for the relief of earthquake victims in Haiti as having been made on December 31, 2009, for purposes of the tax deduction for charitable contributions.[/INST]
Topics:
","1. Earthquake Relief
2. Tax
3. Charitable Contributions",1. Tax Deductions
"<s>[INST]Based on the provided text, identify one to three specific topics related to hesitancy towards the COVID-19 vaccine. 
Examples of seeds topics are 'Side effects' and 'Ineffectiveness'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to vaccine hesitancy within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
 No, Brian's hurt. His hand I think.  He started Saturday's game but was taken out.  It's far too early to populate the dog house, although Bedrock was seen with a milkbone.  [/INST]
Topics:
",No specific topics related to hesitancy towards the COVID-19 vaccine.,"
* Hand
* Hurt
* Game"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Agriculture Competition Enhancement Act of 2007 - Establishes in the Antitrust Division of the Department of Justice a Deputy Assistant Attorney General for Agricultural Antitrust Matters who shall: (1) be responsible for oversight and coordination of agriculture-related antitrust and related matters; and (2) work in coordination with the Task Force and the Department of Agriculture on all agricultural competition matters. Establishes under the authority of the Attorney General the Agriculture Competition Task Force to examine problems in agricultural competition. Amends the Clayton Act to revise the defendant's burden of proof in agribusiness mergers in which the plaintiff is: (1) the federal or state government; or (2) any other plaintiff. Directs the Justice Department and the Federal Trade Commission (FTC) to: (1) draft agriculture specific guidelines to use when reviewing agriculture mergers; and (2) conduct post merger reviews of certain agribusiness mergers five years after approval. Establishes within the Department of Agriculture the Office of Competition and Fair Practices to be headed by a Special Counsel for Competition Matters who shall: (1) analyze mergers within the food and agricultural sectors; and (2) investigate and prosecute violations of the Packers and Stockyards Act, 1921. Provides for agribusiness merger review and enforcement by the Department of Agriculture. Authorizes appropriations for additional staff for the Grain Inspection, Packers, and Stockyards Administration to investigate the competitive implications of structural changes in the meat packing and poultry industries.[/INST]
Topics:
","1. Agriculture
2. Antitrust Matters
3. Mergers and Acquisitions",1. Agriculture Competition
"<s>[INST]Based on the provided text, identify one to three specific topics related to hesitancy towards the COVID-19 vaccine. 
Examples of seeds topics are 'Safety concern' and 'Efficacy'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to vaccine hesitancy within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
  I and many others on a.a have described how we have tried to find god. Are you saying our efforts have not been sincere?  For all the effort I have put in, there has been no outward nor inward change that I can perceive.  What's a sincerely searching Agnostic or Atheist supposed to do when even the search turns up nothing?   How do you ""accept that which you don't know""?  Do you mean that I must believe in your god in order to believe in your god? [/INST]
Topics:
",No specific topics related to hesitancy towards the COVID-19 vaccine.,"
1. Sincerity
2. Change
3. Belief"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Sustainable Water Infrastructure Investment Act of 2013 [sic] - Amends the Internal Revenue Code to exempt from state volume caps tax-exempt facility bonds for sewage and water supply facilities.[/INST]
Topics:
","1. Water
2. Infrastructure
3. Economy",1. Finance
